日期,收盘,开盘,高,低,交易量,涨跌幅
2018年5月17日,13.55,13.83,14.87,13.03,44.1,-3.97%
2019年1月24日,16.89,16.09,17.18,16,43.8,5.89%
2020年7月2日,48.18,48.42,49.19,47.81,43.6,2.18%
2019年11月20日,16.29,15.5,16.63,15.42,43.5,3.56%
2020年3月4日,27.55,26.77,27.57,26.72,43.4,4.99%
2019年7月23日,15.71,15.78,16.18,15.7,43.3,0.96%
2019年1月16日,16.03,15.77,16.15,15.56,43.2,3.35%
2019年8月7日,14.04,14.16,14.39,13.67,43,0.65%
2019年3月6日,18.66,19,19.13,18.52,43,-2.51%
2020年7月15日,43.22,44.56,44.62,42.68,42.9,-1.73%
2020年4月16日,28.78,28.38,29.42,28.05,42.9,2.42%
2018年6月1日,16.91,16.51,17.2,15.87,42.9,4.19%
2019年8月28日,13.53,13.81,13.86,13.36,42.6,-2.80%
2019年8月13日,14.01,13.88,14.07,13.73,42.6,1.23%
2019年4月23日,17.73,17.62,17.99,17.61,42.5,0.06%
2019年3月22日,17.21,17.6,17.69,17.2,42.5,-2.82%
2019年8月23日,14.7,14.58,15.34,14.58,42.2,0.00%
2020年4月28日,26.96,28.08,28.1,26.61,42.1,-2.71%
2018年6月5日,16.71,16.48,16.74,15.6,41.9,1.70%
2020年6月4日,33.56,33.99,34.48,33.29,41.8,-1.73%
2018年9月28日,13.48,12.9,13.69,12.89,41.7,3.53%
2018年5月29日,15.03,14.3,15.19,14.22,41.5,5.55%
2018年10月12日,13.71,13.37,13.85,13.28,41.4,8.04%
2020年2月4日,23.58,23.78,23.98,23.26,41.2,2.34%
2018年10月2日,13.31,13.4,13.7,12.84,41.1,-4.59%
2019年1月28日,17.98,17.14,18.16,16.8,41,3.10%
2018年12月14日,15.22,14.8,15.43,14.3,41,1.81%
2019年10月24日,15.26,14.5,15.51,14.5,40.9,5.83%
2019年5月17日,15.35,15.53,15.7,15.25,40.8,-2.91%
2020年1月31日,21.55,21.28,21.7,21.13,40.6,1.36%
2018年10月16日,13.46,14,14.29,13.26,40.6,-3.51%
2020年4月20日,29.68,28.69,30.3,28.44,40.5,2.34%
2020年1月24日,21.82,22.87,23.08,21.59,40.5,-3.07%
2020年1月15日,23.03,22.93,23.27,22.76,40.5,0.70%
2019年2月7日,17.18,17.99,18.06,16.99,40.5,-5.66%
2019年1月11日,15.36,16.02,16.09,15.29,40.5,-5.54%
2020年6月11日,33.9,34.11,35.13,33.59,40.4,-4.45%
2020年3月10日,26,26.21,26.6,25.11,40.3,3.50%
2020年3月30日,22.96,22.4,23.25,22.15,40,3.84%
2019年11月18日,16.38,17.01,17.01,16.27,40,-1.97%
2018年8月24日,10.91,10.58,10.99,10.41,39.9,3.61%
2019年9月10日,14.87,14.27,14.9,14.16,39.8,3.70%
2018年9月18日,13.76,13.4,14.07,13.13,39.6,4.01%
2019年3月7日,17.8,18.4,18.6,17.67,39.5,-4.61%
2019年5月10日,17.1,17.17,17.5,16.58,39.3,-0.23%
2019年2月12日,17.86,17.51,18.21,17.51,39.1,3.30%
2018年9月14日,13.52,13.29,13.66,12.91,39,1.27%
2019年1月17日,16.53,15.9,16.82,15.75,38.9,3.12%
2020年5月7日,28.65,28.5,28.76,27.89,38.8,2.39%
2020年1月23日,22.51,22,22.66,21.75,38.7,-0.09%
2019年3月28日,18.1,17.75,18.2,17.67,38.4,2.20%
2018年10月10日,12.42,13.26,13.26,12.1,38.4,-5.69%
2019年11月21日,16.92,16.34,17.09,16.3,38.3,3.87%
2019年3月13日,18.2,18.9,19.1,18.18,38.3,-3.70%
2020年4月6日,25.56,24.91,25.58,24.72,38.1,6.01%
2018年8月31日,12.83,12.7,13.4,12.7,38,-2.36%
2020年4月1日,24.06,23.11,24.85,23.11,37.9,2.73%
2018年8月1日,11.33,11.66,11.73,11.16,37.9,-3.25%
2019年1月25日,17.44,17.22,17.5,16.97,37.6,3.26%
2018年9月4日,12.5,12.75,12.86,12.04,37.6,-2.57%
2020年6月26日,44.52,44.86,45.44,43.64,37.5,-0.11%
2020年4月22日,30.2,29.23,30.5,29.2,36.8,5.71%
2020年2月19日,27.72,27.37,27.95,27.37,36.8,2.17%
2019年6月24日,16.07,15.44,16.24,15.28,36.8,4.08%
2019年11月4日,16.78,16.72,16.78,16.3,36.6,1.94%
2018年7月3日,13.8,13.54,14.09,13.12,36.6,3.29%
2020年5月12日,29.24,28.88,30.13,28.63,36.5,1.95%
2019年4月11日,17.47,17.5,17.77,17.38,36.5,-0.91%
2019年1月18日,16.71,16.86,17.09,16.6,36.4,1.09%
2020年5月5日,27.51,27.28,28.01,27.26,36.3,3.69%
2019年5月8日,17.14,17.08,17.39,16.8,36.3,0.29%
2020年6月9日,33.87,34.8,34.99,33.79,36.2,-3.12%
2019年5月28日,14.01,14.37,14.63,13.98,36.2,-0.28%
2019年4月30日,17.8,17.56,17.9,17.45,36.2,0.68%
2018年10月24日,11.99,12.89,12.94,11.87,36.2,-7.56%
2018年5月25日,14.24,13.86,14.44,13.85,36.2,2.82%
2018年12月7日,14.69,14.66,15.4,14.52,36.1,0.07%
2020年5月11日,28.68,28.76,29.19,28.08,36,-1.10%
2018年11月16日,14.5,14.2,14.94,13.96,36,0.21%
2020年7月1日,47.15,46.77,47.44,46.03,35.8,1.79%
2019年6月10日,15.06,14.91,15.31,14.88,35.8,1.76%
2020年3月26日,23.04,23.23,23.82,22.69,35.7,0.74%
2020年5月26日,33.13,34,34.68,33.06,35.6,0.27%
2018年12月26日,13.85,13.78,13.96,13.27,35.6,1.02%
2019年9月12日,15.14,15.3,15.36,14.91,35.5,-0.46%
2019年12月13日,17.9,17.75,18.04,17.67,35.4,0.90%
2018年10月8日,13.63,12.72,13.74,12.65,35.4,2.10%
2019年5月16日,15.81,15.63,15.96,15.5,35.3,1.80%
2018年9月11日,11.84,11.11,11.99,11.11,35.1,4.69%
2019年9月27日,14.33,15.05,15.29,14.05,34.8,-4.59%
2019年3月19日,18.65,18.57,19,18.45,34.8,0.81%
2018年5月21日,12.75,12.94,13.18,12.67,34.8,-0.70%
2019年9月24日,14.6,15.1,15.19,14.45,34.7,-3.31%
2018年10月22日,13.05,13,13.07,12.75,34.5,4.48%
2020年7月17日,41.9,42.25,42.58,41.53,34.4,-1.50%
2019年3月8日,17.94,17.21,18.2,17.15,34.4,0.79%
2018年12月12日,15.29,15.3,15.64,15.17,34.4,1.59%
2018年11月15日,14.47,13.86,14.79,13.79,34.4,6.71%
2019年11月7日,16.95,16.61,16.96,16.6,34.3,3.10%
2019年4月18日,17.45,17,17.54,16.96,34.3,3.07%
2018年8月6日,11.27,11.12,11.74,11.11,34.1,1.90%
2018年9月25日,12.55,12,12.66,11.7,33.9,4.58%
2020年4月30日,27.39,27.54,28.31,27.09,33.7,-1.33%
2019年5月29日,13.78,13.88,14.02,13.65,33.4,-1.64%
2020年4月3日,24.11,24.31,24.7,23.61,33.3,-1.27%
2018年9月17日,13.23,13.29,13.5,12.78,33.3,-2.14%
2020年3月27日,22.11,22.13,22.75,22.05,33.2,-4.04%
2019年9月6日,14.46,14.7,14.89,14.36,33.1,-0.89%
2019年2月19日,17.8,17.81,18.22,17.77,33.1,0.34%
2019年3月12日,18.9,18.71,19.26,18.63,33,1.61%
2020年5月8日,29,28.82,29.84,28.62,32.8,1.22%
2019年5月3日,18.19,17.9,18.31,17.75,32.5,2.65%
2018年12月19日,14.55,14.8,15.17,14.5,32.4,-1.15%
2018年11月12日,12.9,13.51,13.71,12.78,32.4,-3.73%
2018年7月31日,11.71,11.5,12.25,11.35,32.4,1.04%
2018年10月1日,13.95,13.7,14.09,13.57,32.3,3.49%
2019年11月12日,16.68,16.79,16.88,16.48,32.2,-0.54%
2019年7月31日,15.15,15.5,15.5,14.9,32.1,-2.19%
2018年10月11日,12.69,12.03,12.9,12.02,31.9,2.17%
2018年10月15日,13.95,13.28,14.18,13.26,31.6,1.75%
2018年12月10日,14.71,14.59,15.09,14.59,31.5,0.14%
2018年10月18日,12.61,12.91,13.1,12.49,31.5,-4.83%
2018年5月11日,11.46,11.06,12.19,11.06,31.5,4.18%
2020年1月28日,22.41,22.61,22.78,21.99,31.4,0.49%
2019年8月19日,14.5,14.85,15.01,14.4,31.4,-0.14%
2019年1月15日,15.51,15.33,15.8,15.23,31.4,2.99%
2019年6月20日,15.58,15.57,15.93,15.48,31.3,2.57%
2019年12月3日,16.68,16.9,17.1,16.47,31.2,-4.19%
2020年4月15日,28.1,27,28.45,26.82,31.1,2.26%
2018年12月17日,14.28,14.93,14.94,14.22,31.1,-6.18%
2018年5月16日,14.11,12.24,14.35,12.16,31.1,16.04%
2019年12月2日,17.41,17.2,17.5,17.05,31,0.75%
2018年11月27日,14.97,14.7,15.19,14.5,31,0.20%
2019年12月30日,18.45,18.2,18.59,18.13,30.9,1.15%
2019年6月13日,14.48,14.62,14.8,14.25,30.9,-1.43%
2019年2月1日,17.83,18.3,18.61,17.75,30.8,-3.15%
2019年1月23日,15.95,16.19,16.37,15.84,30.8,0.13%
2019年12月17日,17.85,18.06,18.06,17.63,30.7,-0.61%
2020年1月16日,22.97,23.58,23.6,22.76,30.5,-0.26%
2018年12月18日,14.72,14.48,14.8,14.3,30.5,3.08%
2019年5月7日,17.09,17.27,17.6,16.97,30.4,-1.78%
2019年2月21日,18.14,18.46,18.68,17.93,30.2,-0.93%
2019年4月25日,17.49,17.54,17.65,17.03,29.9,-1.58%
2019年12月31日,18.62,18.55,19.17,18.48,29.8,0.92%
2019年11月8日,16.58,16.91,16.93,16.41,29.8,-2.18%
2019年1月4日,13.7,13.45,13.89,13.4,29.7,5.79%
2018年9月7日,11.71,11.26,11.88,11,29.7,2.72%
2019年12月9日,16.99,17.08,17.39,16.93,29.5,-1.05%
2019年10月17日,14.35,14.63,14.69,14.3,29.5,-1.44%
2019年8月22日,14.7,14.56,14.74,14.35,29.5,2.01%
2019年7月2日,16.61,16.42,16.7,16.25,29.5,0.79%
2018年8月17日,10.7,10.55,10.87,9.94,29.2,1.33%
2018年12月31日,14.59,14.57,15,14.4,29.1,1.53%
2019年4月10日,17.63,17.99,17.99,17.42,29,-1.18%
2018年8月3日,11.06,11.51,11.6,11,29,-3.91%
2019年5月31日,13.5,13.63,13.72,13.3,28.9,-2.81%
2018年11月26日,14.94,15.15,15.36,14.64,28.9,-0.27%
2019年2月6日,18.21,18.19,18.48,18.07,28.7,0.00%
2019年12月5日,16.95,16.54,17.2,16.45,28.6,3.23%
2019年6月25日,15.64,15.88,16.14,15.47,28.4,-2.68%
2020年5月6日,27.98,28.03,28.57,27.91,28.2,1.71%
2019年11月22日,16.59,16.93,16.98,16.56,28.2,-1.95%
2019年9月20日,15.26,15.09,15.48,15.03,28.2,1.06%
2019年7月17日,15.58,16.1,16.1,15.36,28.2,-3.05%
2019年1月30日,17.76,18.19,18.3,17.68,28.1,-0.45%
2018年11月23日,14.98,14.53,15.06,14.2,28,-1.06%
2018年8月7日,11.4,11.38,11.67,11.3,28,1.15%
2019年4月22日,17.72,17,17.75,17,27.9,1.55%
2018年10月25日,12.57,12.24,12.63,12.21,27.8,4.84%
2018年4月2日,11,11.05,11.5,10.91,27.7,0.00%
2019年10月11日,14.37,14.56,14.8,14.32,27.6,2.57%
2019年9月3日,14.16,13.81,14.44,13.81,27.6,0.78%
2018年12月28日,14.37,14.04,14.42,13.81,27.6,2.06%
2018年9月19日,13.22,13.69,14,13.2,27.6,-3.92%
2020年4月29日,27.76,27.55,27.96,27.21,27.5,2.97%
2019年9月25日,14.89,14.52,14.95,14.41,27.4,1.99%
2019年8月29日,13.7,13.75,14.02,13.58,27.4,1.26%
2019年6月27日,16.1,16.07,16.25,15.94,27.4,0.81%
2018年6月6日,16.57,16.94,16.96,16.14,27.3,-0.84%
2019年12月18日,17.69,17.86,17.86,17.47,26.9,-0.90%
2019年3月26日,17.7,17.65,17.9,17.61,26.9,0.63%
2018年11月9日,13.4,14.06,14.06,13.32,26.9,-7.52%
2018年8月10日,11.14,11.25,11.37,11.02,26.9,-0.98%
2019年6月21日,15.44,15.34,15.57,15.1,26.8,-0.90%
2019年10月8日,13.44,13.57,13.6,13.23,26.5,-1.47%
2019年6月6日,14.17,13.9,14.34,13.73,26.5,1.29%
2018年4月9日,11.1,11,11.69,10.96,26.5,1.46%
2019年4月29日,17.68,17.72,17.85,17.41,26.4,-0.56%
2018年12月13日,14.95,15.44,15.57,14.91,26.3,-2.22%
2020年6月25日,44.57,43.53,44.61,43.49,26.2,1.23%
2019年7月22日,15.56,15.78,16.24,15.41,25.9,0.13%
2019年7月30日,15.49,15.9,16.03,15.37,25.8,-3.97%
2019年6月14日,14.27,14.33,14.45,14.01,25.8,-1.45%
2018年10月26日,13.17,12.25,13.26,12.15,25.8,4.77%
2019年11月15日,16.71,16.41,16.72,16.26,25.7,2.33%
2019年8月1日,14.75,15.25,15.49,14.6,25.6,-2.64%
2019年10月30日,15.71,15.51,15.75,15.43,25.5,0.90%
2019年5月1日,17.83,17.9,18.08,17.8,25.4,0.17%
2018年9月10日,11.31,11.73,11.94,11.31,25.3,-3.42%
2019年8月16日,14.52,14.29,14.78,14.28,25.1,3.64%
2018年4月3日,10.91,11.5,11.5,10.79,25.1,-0.82%
2019年2月13日,18.2,18.11,18.5,17.96,25,1.90%
2019年8月8日,14.19,14.19,14.36,13.94,24.8,1.07%
2019年5月22日,14.69,14.73,14.99,14.45,24.8,-0.54%
